AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.458333,0.780822,0.574106,0.02418,0.103627,0.580586,0.158672,0.651079,0.494845,0.560579,0.489403,0.096026,0
0.625,0.260274,0.512777,0.499136,0.545769,0.769231,0.461255,0.710432,0.278351,0.443038,0.643545,0.369205,0
0.25,0.547945,0.516184,0.181347,0.404145,0.212454,0.435424,0.197842,0.32646,0.117541,0.481696,0.352649,0
0.416667,0.273973,0.565588,0.481865,0.419689,0.664835,0.780443,0.167266,0.606529,0.269439,0.327553,0.109272,0
0.333333,0.534247,0.487223,0.198618,0.433506,0.225275,0.112546,0.683453,0.463918,0.327306,0.722543,0.566225,0
0.541667,0.150685,0.526405,0.630397,0.53886,0.761905,0.527675,0.510791,0.750859,0.730561,0.797688,0.293046,0
0.541667,0.369863,0.553663,0.378238,0.279793,0.598901,0.605166,0.458633,0.554983,0.712477,0.558767,0.155629,0
0.458333,0.123288,0.548552,0.663212,0.56304,0.794872,0.732472,0.755396,0.752577,0.76311,0.77842,0.187086,0
0.791667,0.767123,0.558773,0.039724,0.107081,0.567766,0.077491,0.564748,0.142612,0.014467,0.362235,0.125828,0
0.375,0.232877,0.482112,0.542314,0.647668,0.35348,0.726937,0.230216,0.458763,0.508137,0.352601,0.582781,0
0.458333,0.643836,0.579216,0.1019,0.227979,0.307692,0.47417,0.334532,0.197595,0.084991,0.595376,0.07947,0
0.25,0.60274,0.521295,0.126079,0.252159,0.576923,0.136531,0.232014,0.43299,0.582278,0.321773,0.32947,0
0.583333,0.780822,0.591141,0.02418,0.117444,0.221612,0.112546,0.638489,0.525773,0.095841,0.599229,0.048013,0
0.208333,0.328767,0.49063,0.417962,0.626943,0.208791,0.658672,0.102518,0.12543,0.546112,0.202312,0.531457,0
0.666667,0.260274,0.550256,0.499136,0.103627,0.800366,0.800738,0.760791,0.649485,0.518987,0.793834,0.183775,0
0.375,0.082192,0.468484,0.702936,0.720207,0.728938,0.402214,0.658273,0.524055,0.573237,0.647399,0.653974,0
0.25,0.09589,0.524702,0.687392,0.642487,0.613553,0.678967,0.269784,0.541237,0.716094,0.518304,0.306291,0
0.625,0.342466,0.53833,0.397237,0.46114,0.591575,0.688192,0.035971,0.189003,0.493671,0.22158,0.230132,0
0.208333,0.616438,0.522998,0.117444,0.210708,0.153846,0.212177,0.28777,0.149485,0.298373,0.256262,0.324503,0
0.166667,0.493151,0.507666,0.248705,0.34715,0.457875,0.261993,0.741007,0.594502,0.334539,0.364162,0.413907,0
0.166667,0.30137,0.517888,0.450777,0.455959,0.6337,0.520295,0.388489,0.611684,0.571429,0.377649,0.347682,0
0.125,0.136986,0.528109,0.644214,0.602763,0.587912,0.372694,0.580935,0.694158,0.090416,0.404624,0.289735,0
